ip,from_ttl,to_ttl,signed_delta_ms,spans_missing_hops
41.210.185.162,0,1,26.653000000000002,False
41.210.185.162,1,2,-20.910000000000004,False
41.210.185.162,2,3,0.10133333333333283,False
41.210.185.162,3,4,3.312666666666667,False
41.210.185.162,4,5,0.5649999999999995,False
41.210.185.162,5,6,5.183666666666667,False
41.210.185.162,6,7,84.18483333333334,False
41.210.185.162,7,8,16.416166666666655,False
41.210.185.162,8,9,-19.451666666666654,False
41.210.185.162,9,10,3.8289999999999935,False
41.210.185.162,10,11,-0.1523333333333312,False
41.210.185.162,11,12,-5.8913333333333355,False
41.210.185.162,12,13,1.0063333333333304,False
41.210.185.162,13,14,4.501333333333335,False
41.210.185.162,14,15,146.3466666666667,False
41.210.185.162,15,16,8.330999999999989,False
41.210.185.162,16,17,-10.926666666666677,False
41.210.185.162,17,18,7.776333333333326,False
41.210.185.162,18,19,10.117333333333335,False
212.47.219.73,0,1,12.0185,False
212.47.219.73,1,2,-6.479166666666666,False
212.47.219.73,2,3,0.6849999999999996,False
212.47.219.73,3,4,2.865666666666667,False
212.47.219.73,4,5,2.6340000000000003,False
212.47.219.73,5,6,1.0599999999999987,False
212.47.219.73,6,7,0.749666666666668,False
212.47.219.73,7,8,19.27766666666666,False
212.47.219.73,8,9,82.37933333333334,False
212.47.219.73,9,10,98.55366666666669,False
212.47.219.73,10,11,-92.35000000000001,False
212.47.219.73,11,12,-6.233333333333334,False
212.47.219.73,12,13,25.439666666666653,False
212.47.219.73,13,14,-12.24533333333332,False
212.47.219.73,14,15,4.74133333333333,False
212.47.219.73,15,16,1.1286666666666747,False
212.47.219.73,16,17,0.054000000000002046,False
143.244.63.144,0,1,18.086,False
143.244.63.144,1,2,-9.722999999999999,False
143.244.63.144,2,3,9.139,False
143.244.63.144,3,4,-6.411333333333333,False
143.244.63.144,4,5,2.208000000000002,False
143.244.63.144,5,6,2.088333333333333,False
143.244.63.144,6,7,0.23799999999999955,False
143.244.63.144,7,9,194.418,True
143.244.63.144,9,10,-6.235666666666674,False
143.244.63.144,10,11,4.862333333333339,False
143.244.63.144,11,12,4.027999999999992,False
143.14.22.69,0,1,18.166,False
143.14.22.69,1,2,-10.3185,False
143.14.22.69,2,3,9.460833333333333,False
143.14.22.69,3,4,-6.218333333333334,False
143.14.22.69,4,6,-1.427666666666667,True
143.14.22.69,6,7,4.197000000000001,False
143.14.22.69,7,8,6.224333333333332,False
143.14.22.69,8,9,89.64433333333335,False
143.14.22.69,9,10,6.25033333333333,False
143.14.22.69,10,11,-14.12733333333334,False
143.14.22.69,11,12,4.975666666666669,False
143.14.22.69,12,13,3.7353333333333296,False
143.14.22.69,13,14,4.893666666666675,False
143.14.22.69,14,15,10.308999999999997,False
143.14.22.69,15,16,6.546333333333337,False
143.14.22.69,16,17,-5.344999999999999,False
143.14.22.69,17,18,1.4696666666666545,False
143.14.22.69,18,19,-1.6323333333333352,False
143.14.22.69,19,20,-3.6483333333333263,False
143.14.22.69,20,21,0.9453333333333376,False
69.168.185.43,0,1,18.03,False
69.168.185.43,1,2,-10.823,False
69.168.185.43,2,3,-0.7629999999999999,False
69.168.185.43,3,4,4.3516666666666675,False
69.168.185.43,4,5,7.967333333333334,False
69.168.185.43,5,7,-4.384333333333336,True
69.168.185.43,7,8,24.918333333333337,False
69.168.185.43,8,10,6.723999999999997,True
