ip,status,min_ms,avg_ms,max_ms,stddev_ms,loss_pct,sent,received,own_ip,latitude,longitude,city,country,geo_source,geo_error,distance_km
101.98.9.197,responsive,182.451,193.641,221.285,14.927,0.0,5,5,False,-36.848534,174.763486,Auckland,New Zealand,https://ipwho.is/101.98.9.197,,13175.237121277087
101.98.9.201,responsive,197.005,210.613,240.001,17.364,0.0,5,5,False,-36.848534,174.763486,Auckland,New Zealand,https://ipwho.is/101.98.9.201,,13175.237121277087
102.214.66.19,responsive,201.68,213.82,240.338,15.23,0.0,5,5,False,12.3656567,-1.5338823,Ouagadougou,Burkina Faso,https://ipwho.is/102.214.66.19,,8733.396818899932
102.214.66.39,responsive,183.201,195.392,221.023,15.215,0.0,5,5,False,5.5560204,-0.1969371,Accra,Ghana,https://ipwho.is/102.214.66.39,,9330.470008077933
102.215.35.132,responsive,223.737,232.195,246.903,8.011,0.0,5,5,False,-1.2833291,36.8166702,Nairobi,Kenya,https://ipwho.is/102.215.35.132,,12890.483440614518
103.146.200.98,responsive,241.073,245.421,252.248,4.994,0.0,5,5,False,-9.4772259,147.1508885,Port Moresby,Papua New Guinea,https://ipwho.is/103.146.200.98,,13697.684709981333
103.214.44.130,responsive,97.578,101.998,110.428,5.017,0.0,5,5,False,53.4809538,-2.2374297,Manchester,United Kingdom,https://ipwho.is/103.214.44.130,,6196.893955768479
104.143.1.141,responsive,118.929,123.556,131.53,5.27,0.0,5,5,False,48.2084936,16.3720775,Vienna,Austria,https://ipwho.is/104.143.1.141,,7614.788694188942
105.235.237.2,responsive,258.702,266.371,295.305,14.479,0.0,5,5,False,3.7557789,8.7816601,Malabo,Equatorial Guinea,https://ipwho.is/105.235.237.2,,10217.899750903498
108.62.52.129,responsive,29.289,39.101,60.012,11.761,0.0,5,5,False,40.714275,-74.0059671,New York City,United States,https://ipwho.is/108.62.52.129,,1090.3986663901503
109.61.86.65,responsive,30.936,43.298,61.387,13.241,0.0,5,5,False,42.3584287,-71.0597679,Boston,United States,https://ipwho.is/109.61.86.65,,1338.500512794204
109.61.94.65,responsive,122.719,131.051,149.007,9.658,0.0,5,5,False,38.7250868,-9.149833,Lisbon,Portugal,https://ipwho.is/109.61.94.65,,6437.818652316244
