destination,status,ttl,ips,samples_ms,avg_ms,min_ms,unreachable,destination_response
41.210.185.162,complete,1,192.168.10.1,18.097;35.209,26.653000000000002,18.097,False,False
41.210.185.162,complete,2,173.230.6.1,5.082;6.03;6.117,5.743,5.082,False,False
41.210.185.162,complete,3,216.171.31.53,5.871;6.643;5.019,5.844333333333333,5.019,False,False
41.210.185.162,complete,4,216.171.30.126,8.485;8.325;10.661,9.157,8.325,False,False
41.210.185.162,complete,5,173.230.125.33,8.971;10.273;9.922,9.722,8.971,False,False
41.210.185.162,complete,6,206.53.139.33,14.233;16.333;14.151,14.905666666666667,14.151,False,False
41.210.185.162,complete,7,184.104.196.49,102.781;95.4,99.0905,95.4,False,False
41.210.185.162,complete,8,184.104.188.129,126.694;96.693;123.133,115.50666666666666,96.693,False,False
41.210.185.162,complete,9,184.105.65.131,95.227;95.715;97.223,96.055,95.227,False,False
41.210.185.162,complete,10,184.104.198.245,98.009;94.964;106.679,99.884,94.964,False,False
41.210.185.162,complete,11,184.104.205.253,99.887;100.062;99.246,99.73166666666667,99.246,False,False
41.210.185.162,complete,12,41.181.244.170,94.879;93.646;92.996,93.84033333333333,92.996,False,False
41.210.185.162,complete,13,41.181.244.163,94.345;95.037;95.158,94.84666666666666,94.345,False,False
41.210.185.162,complete,14,41.181.244.176,94.976;107.974;95.094,99.348,94.976,False,False
41.210.185.162,complete,15,41.181.247.37,245.494;245.812;245.778,245.69466666666668,245.494,False,False
41.210.185.162,complete,16,41.210.190.133,248.916;264.792;248.369,254.02566666666667,248.369,False,False
41.210.185.162,complete,17,41.210.190.168,243.003;242.203;244.091,243.099,242.203,False,False
41.210.185.162,complete,18,41.210.185.45,245.463;259.953;247.21,250.87533333333332,245.463,False,False
41.210.185.162,complete,19,41.210.185.162,275.395;247.487;260.096,260.99266666666665,247.487,False,True
212.47.219.73,complete,1,192.168.10.1,18.198;5.839,12.0185,5.839,False,False
212.47.219.73,complete,2,173.230.6.1,5.622;5.419;5.577,5.539333333333333,5.419,False,False
212.47.219.73,complete,3,216.171.31.53,6.167;6.579;5.927,6.224333333333333,5.927,False,False
212.47.219.73,complete,4,216.171.30.126,8.7;9.375;9.195,9.09,8.7,False,False
212.47.219.73,complete,5,173.230.125.90,11.777;12.026;11.369,11.724,11.369,False,False
212.47.219.73,complete,6,128.241.8.22,12.386;12.642;13.324,12.783999999999999,12.386,False,False
212.47.219.73,complete,7,129.250.4.96,13.015;14.149;13.437,13.533666666666667,13.015,False,False
212.47.219.73,complete,8,129.250.2.190,33.336;32.669;32.429,32.81133333333333,32.429,False,False
212.47.219.73,complete,9,129.250.6.5,110.883;122.785;111.904,115.19066666666666,110.883,False,False
212.47.219.73,complete,10,129.250.4.148,214.437;212.584;214.212,213.74433333333334,212.584,False,False
212.47.219.73,complete,11,129.250.2.2,129.696;114.012;120.475,121.39433333333334,114.012,False,False
212.47.219.73,complete,12,129.250.2.68,114.813;114.797;115.873,115.161,114.797,False,False
